zip,Zipcode name,City,State,County Name
30105,"ARMUCHEE, GA",ARMUCHEE,GA,FLOYD
30619,"ARNOLDSVILLE, GA",ARNOLDSVILLE,GA,OGLETHORPE
31714,"ASHBURN, GA",ASHBURN,GA,TURNER
30601,"ATHENS, GA",ATHENS,GA,CLARKE
30602,"ATHENS, GA",ATHENS,GA,CLARKE
30603,"ATHENS, GA",ATHENS,GA,CLARKE
30604,"ATHENS, GA",ATHENS,GA,CLARKE
30605,"ATHENS, GA",ATHENS,GA,CLARKE
30606,"ATHENS, GA",ATHENS,GA,CLARKE
30607,"ATHENS, GA",ATHENS,GA,CLARKE
30608,"ATHENS, GA",ATHENS,GA,CLARKE
30612,"ATHENS, GA",ATHENS,GA,CLARKE
30339,"ATLANTA, GA",ATLANTA,GA,COBB
30317,"ATLANTA, GA",ATLANTA,GA,DEKALB
30319,"ATLANTA, GA",ATLANTA,GA,DEKALB
30322,"ATLANTA, GA",ATLANTA,GA,DEKALB
30329,"ATLANTA, GA",ATLANTA,GA,DEKALB
30333,"ATLANTA, GA",ATLANTA,GA,DEKALB
30338,"ATLANTA, GA",ATLANTA,GA,DEKALB
30340,"ATLANTA, GA",ATLANTA,GA,DEKALB
30341,"ATLANTA, GA",ATLANTA,GA,DEKALB
30345,"ATLANTA, GA",ATLANTA,GA,DEKALB
30346,"ATLANTA, GA",ATLANTA,GA,DEKALB
