Zip Code,Location,City,Population,Avg.Income/H/hold,NationalRank
30228,"33.406141, -84.301679",Hampton ,21184,52362,4908
30033,"33.813689, -84.284377",Decatur ,27046,52307,4936
30296,"33.558799, -84.443824",Riverdale ,21308,52252,4958
30273,"33.582010, -84.270013",Rex ,11412,52119,5010
31216,"32.726216, -83.684953",Macon ,13850,51905,5091
30506,"34.364750, -83.884358",Gainesville ,31610,51847,5122
30082,"33.855882, -84.534650",Smyrna ,23191,51744,5153
30034,"33.690867, -84.248622",Decatur ,44917,51738,5155
30346,"33.925077, -84.338507",Atlanta ,1452,51635,5195
31326,"32.296246, -81.212443",Rincon ,12302,51455,5258
30088,"33.756052, -84.182363",StoneMountain ,29211,51302,5336
30045,"33.940831, -83.957584",Lawrenceville ,36769,51259,5353
30564,"34.518618, -83.866425",Murrayville ,3401,51165,5412
30622,"33.908871, -83.527118",Bogart ,7685,51083,5439
31046,"33.057565, -83.796730",Juliette ,2839,51019,5460
30011,"34.023728, -83.834552",Auburn ,11684,50955,5489
30141,"33.860951, -84.769642",Hiram ,12963,50736,5588
30276,"33.272575, -84.592902",Senoia ,9058,50612,5648
30114,"34.257096, -84.510102",Canton ,22323,50523,5688
30750,"34.922318, -85.420132",LookoutMountain ,4038,50500,5702
30126,"33.815025, -84.553831",Mableton ,26525,50413,5734
31328,"32.006383, -80.888913",TybeeIsland ,3713,50368,5758
30183,"34.339036, -84.602796",Waleska ,3826,50352,5767
30341,"33.887723, -84.291143",Atlanta ,31036,50349,5768
30360,"33.933808, -84.272577",Atlanta ,14782,50226,5837
30620,"33.929921, -83.751851",Bethlehem ,5354,49740,6041
30067,"33.930719, -84.462357",Marietta ,48116,49618,6082
30309,"33.799832, -84.385903",Atlanta ,18739,49515,6121
30802,"33.601437, -82.299935",Appling ,5177,49467,6138
30213,"33.585908, -84.624643",Fairburn ,14813,49449,6142
30236,"33.521612, -84.328432",Jonesboro ,42232,49440,6145
30710,"34.946847, -84.921295",Cohutta ,5358,49277,6213
30517,"34.133497, -83.792537",Braselton ,5400,49274,6215
30016,"33.517433, -83.928703",Covington ,25766,49056,6294
31909,"32.542266, -84.924385",Columbus ,27872,48979,6325
30518,"34.124955, -84.027537",Buford ,29183,48609,6477
31807,"32.629229, -84.792154",Ellerslie ,1544,48563,6501
30054,"33.672561, -83.877080",Oxford ,9142,48319,6599
30566,"34.233940, -83.891785",Oakwood ,6948,48281,6606
30071,"33.937394, -84.205634",Norcross ,22220,48270,6610
30259,"33.265699, -84.741743",Moreland ,2486,47930,6744
31088,"32.583526, -83.647225",WarnerRobins ,38066,47825,6795
31003,"32.607366, -83.207636",Allentown ,220,47813,6806
31052,"32.784433, -83.848511",Lizella ,6872,47594,6913
31322,"32.109885, -81.255465",Pooler ,6139,47485,6974
31319,"31.465071, -81.337638",Meridian ,123,47292,7044
30656,"33.861499, -83.727191",Monroe ,10578,47281,7054
31008,"32.665346, -83.785924",Byron ,13461,47162,7109
30621,"33.796811, -83.471231",Bishop ,3226,47148,7119
31028,"32.630264, -83.684891",Centerville ,3762,46964,7226
30107,"34.336291, -84.345793",BallGround ,8055,46869,7301
31312,"32.323805, -81.402577",Guyton ,10911,46760,7360
30740,"34.750150, -85.095146",RockyFace ,6556,46602,7442
30134,"33.767869, -84.779815",Douglasville ,31836,46580,7454
30002,"33.773335, -84.261667",AvondaleEstates ,5300,46568,7464
30106,"33.833232, -84.628114",Austell ,15491,46547,7474
31032,"33.011683, -83.569169",Gray ,10626,46343,7570
30035,"33.724452, -84.204244",Decatur ,19151,46223,7648
30534,"34.429186, -84.143281",Dawsonville ,17112,46173,7677
30030,"33.772712, -84.291005",Decatur ,25137,46111,7710
31763,"31.750082, -84.139065",Leesburg ,19592,46090,7727
30132,"33.977610, -84.851504",Dallas ,17526,45994,7792
30116,"33.540635, -85.003230",Carrollton ,18360,45972,7811
30121,"34.211443, -84.779583",Cartersville ,15602,45947,7828
30238,"33.493252, -84.379295",Jonesboro ,31445,45761,7930
30080,"33.869656, -84.498844",Smyrna ,43472,45514,8076
30145,"34.238247, -84.978546",Kingston ,6007,45444,8121
30414,"32.162770, -81.975437",Bellville ,180,45417,8138
30008,"33.897634, -84.589572",Marietta ,31330,45379,8156
31756,"31.170959, -83.959980",Hartsfield ,1020,45357,8169
30171,"34.343551, -84.725681",Rydal ,2960,45313,8195
30025,"33.646426, -83.692535",SocialCircle ,6961,45268,8225
30736,"34.902663, -85.133970",Ringgold ,33776,45227,8248
30263,"33.388415, -84.858937",Newnan ,41287,45199,8264
31523,"31.243546, -81.657785",Brunswick ,8621,45091,8325
30083,"33.797412, -84.197984",StoneMountain ,55791,44983,8400
30178,"34.107742, -84.967320",Taylorsville ,2925,44405,8701
30143,"34.457505, -84.421138",Jasper ,17530,44266,8781
30122,"33.761244, -84.634095",LithiaSprings ,16207,44028,8887
30055,"33.496702, -83.749992",Mansfield ,2201,43984,8908
31605,"30.929823, -83.227813",Valdosta ,14497,43844,8999
31302,"32.127429, -81.333450",Bloomingdale ,7580,43799,9015
30120,"34.173418, -84.857357",Cartersville ,29734,43750,9057
31823,"32.788742, -84.816401",PineMountainValley ,675,43519,9203
30093,"33.908536, -84.177349",Norcross ,49669,43484,9230
30504,"34.271525, -83.882021",Gainesville ,15501,43408,9285
30180,"33.717103, -84.918032",VillaRica ,17839,43321,9345
31733,"31.593195, -83.489790",Chula ,1548,43317,9349
30329,"33.827479, -84.323017",Atlanta ,27872,43295,9368
30105,"34.479331, -85.149214",Armuchee ,2455,43229,9407
30234,"33.339620, -84.021980",Jenkinsburg ,587,43125,9463
30124,"34.133691, -85.345801",CaveSpring ,2838,43109,9476
31066,"32.806735, -84.018077",Musella ,1304,43000,9542
30543,"34.290463, -83.649536",Gillsville ,3446,42961,9575
31406,"31.981768, -81.083838",Savannah ,34753,42875,9634
30257,"33.143414, -84.186220",Milner ,3188,42792,9682
30554,"34.399148, -83.660793",Lula ,5875,42693,9738
30507,"34.255690, -83.774878",Gainesville ,20744,42679,9756
30072,"33.791377, -84.204844",PineLake ,487,42604,9809
31707,"31.525260, -84.301465",Albany ,41502,42539,9850
31569,"30.899649, -81.681881",Woodbine ,4943,42416,9950
31407,"32.187002, -81.180375",Savannah ,3239,42414,9955
31419,"31.999421, -81.290245",Savannah ,40935,42173,10170
30680,"33.994786, -83.701933",Winder ,25714,42140,10201
31038,"33.142737, -83.647114",Hillsboro ,752,42083,10251
31329,"32.422733, -81.342175",Springfield ,7082,42054,10274
30641,"33.769567, -83.564750",GoodHope ,1222,42050,10276
30224,"33.204525, -84.239012",Griffin ,21355,41957,10361
30565,"34.093696, -83.416467",Nicholson ,3750,41955,10364
31641,"30.919570, -83.092297",Naylor ,1409,41923,10385
30527,"34.481368, -83.783789",Clermont ,3010,41679,10592
30720,"34.740147, -85.005476",Dalton ,24892,41586,10657
31303,"32.505422, -81.313427",Clyo ,2034,41447,10761
31050,"32.720122, -83.934108",Knoxville ,999,41367,10822
30340,"33.898619, -84.249569",Atlanta ,26997,41367,10823
31548,"30.797329, -81.705348",Kingsland ,14886,41331,10848
30549,"34.105086, -83.577239",Jefferson ,12804,41307,10870
31558,"30.806649, -81.506204",SaintMarys ,20787,41039,11119
30260,"33.582151, -84.332545",Morrow ,23275,40978,11179
30725,"34.925669, -85.363215",Flintstone ,3456,40963,11197
30813,"33.472524, -82.223028",Grovetown ,16744,40902,11253
30274,"33.554618, -84.400443",Riverdale ,32166,40856,11293
31735,"31.969555, -83.973306",Cobb ,918,40817,11331
30571,"34.700735, -83.681238",SauteeNacoochee ,2444,40813,11335
30746,"34.579091, -85.026342",SugarValley ,1280,40774,11376
30628,"34.033508, -83.215178",Colbert ,5216,40705,11439
31831,"32.675625, -84.717666",WaverlyHall ,2500,40667,11465
30056,"33.493518, -83.656102",Newborn ,1854,40625,11507
30683,"33.946988, -83.256171",Winterville ,5392,40520,11606
31070,"32.182775, -83.774850",Pinehurst ,805,40507,11613
30168,"33.783542, -84.588106",Austell ,20564,40501,11616
30295,"33.094643, -84.324428",Zebulon ,3278,40500,11624
30206,"33.096058, -84.458228",Concord ,2258,40478,11641
30240,"33.036796, -85.120216",Lagrange ,25904,40454,11671
31097,"32.914582, -84.147846",Yatesville ,1233,40378,11757
30805,"33.323979, -82.250860",Blythe ,1842,40357,11771
30233,"33.295589, -83.994045",Jackson ,19252,40331,11803
30701,"34.497953, -84.962366",Calhoun ,29672,40280,11861
30563,"34.566130, -83.458311",MountAiry ,4139,40182,11966
31811,"32.739065, -84.931472",Hamilton ,3912,40121,12038
31568,"30.998157, -81.793973",WhiteOak ,1008,39861,12243
31064,"33.297469, -83.699462",Monticello ,7964,39841,12263
30268,"33.540691, -84.721084",Palmetto ,7018,39717,12372
30185,"33.531729, -84.909722",Whitesburg ,3692,39662,12415
30567,"34.195665, -83.682520",Pendergrass ,2083,39647,12435
31211,"32.912983, -83.624917",Macon ,15876,39638,12448
31757,"30.869874, -83.872128",Thomasville ,9771,39603,12479
30170,"33.433093, -85.169918",Roopville ,2681,39602,12482
30815,"33.281225, -82.084749",Hephzibah ,37487,39345,12710
30663,"33.608531, -83.611849",Rutledge ,2440,39337,12719
30650,"33.586849, -83.481715",Madison ,10309,39284,12767
31525,"31.302806, -81.519527",Brunswick ,21516,39253,12786
31822,"32.873017, -84.908029",PineMountain ,4844,39183,12837
31555,"31.703120, -82.069506",Odum ,2592,39167,12854
30349,"33.626684, -84.523669",Atlanta ,55239,39141,12880
31022,"32.501810, -83.111810",Dudley ,1055,39028,12973
30012,"33.717806, -84.002515",Conyers ,23711,38957,13051
30909,"33.470373, -82.082981",Augusta ,35295,38947,13062
30258,"32.990797, -84.470052",Molena ,2354,38910,13089
31069,"32.443015, -83.742617",Perry ,15679,38849,13131
31025,"32.335837, -83.741003",Elko ,1314,38828,13148
30288,"33.652831, -84.327109",Conley ,6522,38799,13167
30533,"34.566990, -84.014394",Dahlonega ,19094,38758,13185
30173,"34.133121, -85.153505",SilverCreek ,6143,38699,13288
31907,"32.482037, -84.901475",Columbus ,56156,38693,13291
31029,"33.034238, -83.928676",Forsyth ,13839,38620,13343
31098,"32.619683, -83.576975",WarnerRobins ,5382,38445,13513
30179,"33.779335, -85.013502",Temple ,9632,38364,13593
30412,"32.088350, -82.503656",Alston ,195,38333,13613
30014,"33.568839, -83.828352",Covington ,26020,38322,13630
30256,"33.007484, -84.309900",Meansville ,2081,38250,13683
30415,"32.337437, -81.598327",Brooklet ,5480,38211,13709
31832,"31.957980, -84.614915",Weston ,199,38125,13792
30619,"33.855327, -83.246230",Arnoldsville ,1082,38125,13810
31787,"31.891369, -84.234579",Smithville ,1829,37981,13939
31045,"33.297917, -82.766028",Jewell ,142,37813,14099
30905,"33.392652, -82.170859",Augusta ,7751,37803,14109
30607,"34.024883, -83.451418",Athens ,8699,37652,14255
30724,"34.830043, -84.759097",Eton ,131,37639,14263
31796,"31.770118, -83.856468",Warwick ,1160,37607,14298
30705,"34.751633, -84.755435",Chatsworth ,31636,37605,14299
30182,"33.655819, -85.248832",Waco ,2440,37596,14308
30547,"34.361833, -83.455885",Homer ,2729,37500,14368
30726,"34.976009, -85.141441",Graysville ,48,37500,14369
30735,"34.603946, -84.903036",Resaca ,5497,37335,14563
30522,"34.795583, -84.342302",Cherrylog ,584,37333,14564
30021,"33.807995, -84.238975",Clarkston ,24374,37330,14573
30103,"34.367413, -84.918733",Adairsville ,10972,37314,14591
30461,"32.496921, -81.723093",Statesboro ,10499,37290,14616
31318,"32.141772, -81.379608",Meldrim ,162,37273,14636
30755,"34.868010, -85.042839",TunnelHill ,8836,37255,14651
30218,"33.129318, -84.587178",Gay ,1865,37250,14667
30633,"34.178174, -83.254872",Danielsville ,8657,37181,14748
30530,"34.222298, -83.393700",Commerce ,4823,37137,14800
30730,"34.371682, -85.422704",Lyerly ,1861,37065,14875
31065,"32.558744, -83.164432",Montrose ,893,37059,14882
30642,"33.576400, -83.207308",Greensboro ,9885,37044,14897
30646,"34.075713, -83.321803",Hull ,6323,36943,15030
31625,"30.992647, -83.533505",Barney ,1113,36842,15152
30529,"34.215426, -83.483658",Commerce ,9111,36771,15228
30814,"33.442251, -82.314207",Harlem ,6879,36765,15239
31606,"30.806085, -83.190044",Valdosta ,3616,36743,15256
30666,"33.962123, -83.584678",Statham ,5466,36691,15320
30137,"34.129100, -84.760240",Emerson ,1176,36685,15328
31632,"30.990385, -83.362368",Hahira ,7309,36675,15335
31602,"30.867904, -83.342140",Valdosta ,30355,36664,15365
31075,"32.350458, -82.948520",Rentz ,1664,36563,15459
30511,"34.449701, -83.486718",Baldwin ,2689,36471,15566
30523,"34.716605, -83.553605",Clarkesville ,10801,36465,15574
30510,"34.430829, -83.590176",Alto ,6661,36409,15640
30531,"34.508136, -83.586561",Cornelia,10194,36377,15673
30331,"33.708174, -84.542280",Atlanta,44444,36349,15703
30558,"34.274444, -83.569823",Maysville,4693,36327,15734
31085,"33.427353, -83.627679",ShadyDale,1071,36250,15855
30655,"33.773910, -83.680907",Monroe,17481,36228,15918
30104,"34.088874, -85.070382",Aragon,3991,36225,15919
31801,"32.511373, -84.573009",BoxSprings,2553,36214,15927
31024,"33.323204, -83.377296",Eatonton,17747,36204,15936
31309,"31.879886, -81.438392",Fleming,1050,36202,15937
30216,"33.232440, -83.863637",Flovilla,2158,36188,15951
31830,"32.899494, -84.726708",WarmSprings,2456,36163,15982
30734,"34.532804, -84.714916",Ranger,3133,36142,16015
31321,"32.185059, -81.659775",Pembroke,5782,36103,16065
31711,"32.190993, -84.134410",Andersonville,921,36094,16085
30060,"33.920006, -84.543077",Marietta,35980,36077,16104
31565,"31.064795, -81.606771",Waverly,1531,35990,16226
30738,"34.796535, -85.480919",RisingFawn,3394,35915,16308
30572,"34.749481, -84.080649",Suches,1161,35903,16329
30032,"33.740270, -84.264834",Decatur,59912,35785,16480
30707,"34.771950, -85.359193",Chickamauga,13836,35729,16557
30139,"34.432341, -84.705495",Fairmount,3537,35727,16565
31031,"32.866283, -83.328348",Gordon,6687,35684,16601
30721,"34.794361, -84.909973",Dalton,40233,35590,16753
31093,"32.647873, -83.657206",WarnerRobins,27710,35569,16769
30528,"34.610574, -83.785184",Cleveland,16870,35560,16780
30147,"34.134940, -85.222060",Lindale,4475,35558,16783
30540,"34.697441, -84.453270",Ellijay,20779,35551,16792
31061,"33.059367, -83.221587",Milledgeville,39231,35531,16819
30175,"34.540413, -84.520608",TalkingRock,4502,35504,16850
30165,"34.302923, -85.269103",Rome,37162,35476,16899
30291,"33.579393, -84.543475",UnionCity,12255,35461,16913
31535,"31.448037, -82.848195",Douglas,8606,35427,16960
30731,"34.601644, -85.478850",Menlo,2296,35417,16973
30153,"33.971749, -85.053593",Rockmart,14571,35407,16996
31773,"30.977266, -84.050709",Ochlocknee,3447,35368,17060
31307,"32.166551, -81.405094",Eden,837,35326,17107
31011,"32.117132, -83.045018",Chauncey,848,35291,17164
30638,"33.776298, -83.424829",Farmington,45,35278,17184
30204,"33.060720, -84.130363",Barnesville,12240,35080,17421
31826,"32.797008, -84.708770",Shiloh,2097,35052,17449
31546,"31.494049, -81.810864",Jesup,7213,34917,17586
30220,"33.230862, -84.824854",Grantville,3116,34914,17592
30739,"34.805931, -85.215984",RockSpring,3708,34853,17648
30557,"34.479804, -83.184960",Martin,4472,34851,17650
30634,"34.202177, -82.942226",DewyRose,2349,34778,17726
31308,"32.106822, -81.449611",Ellabell,6444,34759,17744
30501,"34.318834, -83.815174",Gainesville,29349,34748,17765
30627,"33.973309, -82.958053",Carlton,2135,34727,17788
31333,"31.769045, -81.675515",Walthourville,1298,34632,17894
30521,"34.362893, -83.293209",Carnesville,4549,34602,17929
30525,"34.907172, -83.369303",Clayton,7289,34583,17973
30539,"34.681482, -84.467735",EastEllijay,519,34500,18043
30537,"34.965502, -83.334217",Dillard,1355,34479,18061
31313,"31.865374, -81.577900",Hinesville,35885,34433,18117
31518,"31.512607, -82.185093",Bristol,714,34375,18167
31320,"31.719612, -81.313602",Midway,6896,34014,18572
30568,"34.959452, -83.432688",RabunGap,1469,33986,18602
30752,"34.901283, -85.531017",Trenton,8625,33976,18610
31405,"32.034832, -81.164132",Savannah,32887,33947,18650
30575,"34.207642, -83.713476",Talmo,1601,33875,18722
30560,"34.888013, -84.199821",Morganton,3702,33854,18734
30535,"34.588910, -83.573757",Demorest,5804,33849,18742
31567,"31.636784, -82.707905",WestGreen,775,33787,18795
30275,"33.432865, -84.870644",Sargent,158,33750,18866
30455,"32.690978, -81.802282",RockyFord,735,33750,18868
30639,"34.282014, -83.148461",FranklinSprings,337,33750,18869
31904,"32.554272, -85.009258",Columbus,30068,33746,18934
30108,"33.533282, -85.265969",Bowdon,7367,33740,18937
30576,"34.837705, -83.454371",Tiger,2236,33701,18961
30906,"33.355623, -81.978342",Augusta,59540,33680,18979
30733,"34.414593, -85.050554",Plainville,1826,33563,19083
30297,"33.612121, -84.373929",ForestPark,29757,33434,19240
31716,"31.361000, -84.116441",Baconton,3285,33409,19256
31071,"32.129456, -83.540786",Pineview,1356,33333,19328
30251,"33.195020, -84.703189",Luthersville,2139,33221,19464
31790,"31.652476, -83.577968",Sycamore,2039,33162,19549
30552,"34.773214, -83.471991",Lakemont,1622,33152,19561
30648,"33.879979, -83.052055",Lexington,2237,33125,19576
31094,"33.125792, -82.787993",Warthen,1418,33125,19579
30630,"33.913350, -83.147472",Crawford,2647,33105,19623
30606,"33.937362, -83.424510",Athens,35512,33092,19646
31543,"31.354882, -81.821236",Hortense,3888,33068,19674
30223,"33.287652, -84.274587",Griffin,34765,32968,19781
31780,"32.026726, -84.383493",Plains,2313,32928,19816
31905,"32.383712, -84.918836",FortBenning,23421,32862,19884
31077,"31.942307, -83.169758",Rhine,1172,32857,19889
30582,"34.953721, -83.895719",YoungHarris,3431,32772,19990
30643,"34.355520, -82.912273",Hartwell,14749,32739,20017
30757,"34.935805, -85.443649",Wildwood,1923,32738,20018
30344,"33.676198, -84.458359",Atlanta,36753,32720,20031
30513,"34.829422, -84.313467",BlueRidge,9369,32717,20033
31636,"30.745401, -83.089131",LakePark,7948,32694,20063
31794,"31.454695, -83.511941",Tifton,34192,32687,20074
31020,"32.692513, -83.520297",DryBranch,3198,32625,20126
30541,"34.916591, -84.532797",Epworth,1333,32625,20128
31019,"32.428192, -83.056487",Dexter,1993,32589,20182
30308,"33.770877, -84.377873",Atlanta,11796,32555,20217
31833,"32.842900, -85.091845",WestPoint,6745,32553,20220
30824,"33.512953, -82.514855",Thomson,16800,32495,20317
30117,"33.581851, -85.132439",Carrollton,32661,32466,20339
30316,"33.711546, -84.331796",Atlanta ,32495,32465,20342
31036,"32.260556, -83.507888",Hawkinsville ,10353,32454,20349
31014,"32.421546, -83.352233",Cochran ,12569,32444,20356
31791,"31.528624, -83.894073",Sylvester ,12927,32419,20394
30217,"33.290968, -85.139594",Franklin ,8864,32413,20398
31806,"32.263441, -84.322724",Ellaville ,3728,32267,20589
30818,"33.269562, -82.326045",Matthews ,506,32260,20598
31021,"32.493414, -82.943064",Dublin ,27457,32124,20810
31630,"30.952289, -82.865603",DuPont ,540,32115,20820
31789,"31.483306, -83.733939",Sumner ,1524,32112,20828
30161,"34.244027, -85.162538",Rome ,34109,32111,20829
30711,"34.929868, -84.768782",Crandall ,3541,32083,20862
31552,"31.308842, -82.598087",Millwood ,780,31970,21015
30678,"33.453078, -83.065832",WhitePlains ,1077,31920,21085
30293,"32.976672, -84.611500",Woodbury ,3551,31892,21118
31783,"31.758976, -83.470125",Rebecca ,1164,31875,21169
31545,"31.585751, -81.998743",Jesup ,14047,31849,21198
30176,"33.771314, -85.304390",Tallapoosa ,6618,31847,21201
30125,"33.999735, -85.276708",Cedartown ,22885,31821,21228
31018,"33.006136, -82.637562",Davisboro ,2287,31813,21242
30817,"33.784348, -82.454214",Lincolnton ,7919,31750,21323
30470,"32.339753, -82.508921",Tarrytown ,827,31719,21362
30230,"33.169602, -84.926429",Hogansville ,8222,31718,21370
30241,"33.022344, -84.949445",Lagrange ,20150,31716,21372
31331,"31.525876, -81.417763",Townsend ,5246,31696,21393
31058,"32.488651, -84.410396",Mauk ,1608,31623,21488
30512,"34.862705, -83.970762",Blairsville ,15963,31589,21528
30823,"33.232206, -82.452856",Stapleton ,1658,31518,21623
30553,"34.439182, -83.083575",Lavonia ,6738,31431,21724
31771,"31.248233, -83.654247",NormanPark ,4623,31402,21767
30410,"32.194703, -82.513548",Ailey ,1803,31386,21787
30546,"34.898796, -83.696585",Hiawassee ,6156,31319,21870
31072,"31.964549, -83.569522",Pitts ,1319,31313,21882
30222,"33.044355, -84.743495",Greenville ,4407,31306,21891
31316,"31.734155, -81.745068",Ludowici ,5878,31281,21922
30113,"33.850746, -85.205308",Buchanan ,5674,31259,21941
31550,"31.095408, -82.553347",Manor ,878,31250,21991
30742,"34.942028, -85.248623",FortOglethorpe ,5835,31240,22036
30427,"31.940308, -81.947578",Glennville ,11490,31236,22038
30516,"34.372865, -83.040575",Bowersville ,1731,31213,22055
31798,"31.622318, -83.053947",Wray ,890,31167,22109
31566,"31.117057, -81.843658",Waynesville ,2710,31161,22117
30662,"34.267311, -83.154100",Royston ,8122,31107,22183
31623,"31.077797, -82.667604",Argyle ,193,31071,22227
31749,"31.437594, -83.328208",Enigma ,2075,31045,22254
30538,"34.500986, -83.263844",Eastanollee ,2175,30990,22335
30803,"33.133196, -82.549061",Avera ,641,30956,22374
31639,"31.210879, -83.196313",Nashville ,9502,30940,22392
30808,"33.384114, -82.391923",Dearing ,4446,30895,22440
31792,"30.770798, -84.043704",Thomasville ,22898,30860,22483
31805,"32.262084, -84.767284",Cusseta ,2991,30806,22568
31781,"31.560578, -83.796292",Poulan ,1605,30795,22581
30286,"32.883521, -84.328097",Thomaston ,24308,30788,22592
30110,"33.739160, -85.135505",Bremen ,11442,30761,22614
30753,"34.582310, -85.285775",Trion ,6795,30752,22621
31315,"31.887053, -81.601648",FortStewart ,9419,30738,22646
30629,"34.073837, -83.118966",Comer ,4283,30705,22697
31009,"32.286273, -83.011450",Cadwell ,1154,30625,22794
31012,"32.394441, -83.170928",Chester ,2246,30625,22795
