name,pop2022,pop2020,growth,density,aland_sqmi
Commerce,7555,7387,0.0227,609,12.4040
Swainsboro,7455,7425,0.0040,593,12.5790
Bremen,7377,7185,0.0267,696,10.6020
Dacula,7370,6882,0.0709,1373,5.3670
Whitemarsh Island,7021,6983,0.0054,1214,5.7820
Stone Mountain,6883,6703,0.0269,4184,1.6450
LaFayette,6842,6888,-0.0067,846,8.0860
Thomson,6822,6814,0.0012,1555,4.3880
Conley,6770,6680,0.0135,3522,1.9220
Morrow,6593,6569,0.0037,1955,3.3720
Hapeville,6589,6553,0.0055,2739,2.4060
Fairview,6337,6409,-0.0112,842,7.5260
Eatonton,6273,6307,-0.0054,306,20.5090
Barnesville,6200,6292,-0.0146,1021,6.0740
Byron,5940,5702,0.0417,678,8.7670
Waynesboro,5805,5799,0.0010,1061,5.4720
Eastman,5798,5658,0.0247,900,6.4440
Sandersville,5793,5813,-0.0034,450,12.8710
Jackson,5659,5557,0.0184,931,6.0780
Adel,5619,5571,0.0086,644,8.7260
Sylvester,5536,5644,-0.0191,844,6.5600
Blakely,5431,5371,0.0112,309,17.5510
Senoia,5358,5016,0.0682,874,6.1320
Temple,5261,5089,0.0338,773,6.8090
Hiram,5205,4929,0.0560,1310,3.9740
Palmetto,5187,5071,0.0229,438,11.8560
Camilla,5153,5187,-0.0066,781,6.6010
Grayson,5142,4730,0.0871,2085,2.4660
Social Circle,5116,4974,0.0285,351,14.5760
Baxley,5050,4942,0.0219,631,7.9970
Cochran,5002,5026,-0.0048,1062,4.7100
Oakwood,4992,4822,0.0353,887,5.6280
Chatsworth,4990,4874,0.0238,938,5.3170
Nashville,4949,4947,0.0004,1064,4.6520
Heron Bay,4939,4679,0.0556,1095,4.5110
Adairsville,4924,4878,0.0094,526,9.3540
Folkston,4856,4464,0.0878,1159,4.1910
Rockmart,4838,4732,0.0224,857,5.6420
Lakeview,4765,4777,-0.0025,2097,2.2720
Bonanza,4660,4406,0.0576,4447,1.0480
Elberton,4638,4640,-0.0004,1024,4.5300
Cornelia,4571,4503,0.0151,1100,4.1570
Madison,4541,4447,0.0211,521,8.7170
Forsyth,4504,4384,0.0274,765,5.8870
Hartwell,4470,4470,0,887,5.0380
Montgomery,4427,4443,-0.0036,849,5.2150
Summerville,4415,4435,-0.0045,1100,4.0140
Dawson,4388,4414,-0.0059,1170,3.7520
Ashburn,4319,4291,0.0065,910,4.7460
Lindale,4301,4283,0.0042,785,5.4770
Euharlee,4294,4268,0.0061,795,5.4040
Lyons,4213,4239,-0.0061,526,8.0110
Jasper,4164,4084,0.0196,487,8.5570
Jonesboro,4137,4235,-0.0231,1636,2.5280
Quitman,4106,4064,0.0103,995,4.1270
Hazlehurst,4060,4088,-0.0068,858,4.7330
Chattanooga Valley,3986,3962,0.0061,537,7.4200
Metter,3978,4004,-0.0065,531,7.4980
Dawsonville,3956,3720,0.0634,460,8.6050
Rossville,3956,3980,-0.0060,2190,1.8060
Glennville,3886,3834,0.0136,550,7.0700
Hawkinsville,3858,3980,-0.0307,718,5.3700
Hephzibah,3794,3830,-0.0094,195,19.4870
West Point,3767,3719,0.0129,322,11.6950
Harlem,3751,3571,0.0504,595,6.3060
Greensboro,3706,3648,0.0159,551,6.7310
Baldwin,3699,3629,0.0193,757,4.8880
Wrightsville,3699,3449,0.0725,1050,3.5230
Avondale Estates,3689,3567,0.0342,3014,1.2240
Washington,3678,3754,-0.0202,478,7.6980
Leesburg,3596,3480,0.0333,729,4.9360
Walthourville,3594,3680,-0.0234,936,3.8410
Cleveland,3534,3514,0.0057,912,3.8740
Blackshear,3518,3506,0.0034,694,5.0660
Hahira,3514,3384,0.0384,1306,2.6910
Ocilla,3514,3498,0.0046,1381,2.5450
Gray,3468,3436,0.0093,882,3.9340
Manchester,3454,3584,-0.0363,431,8.0130
Hardwick,3429,3513,-0.0239,705,4.8620
Pelham,3429,3507,-0.0222,841,4.0780
Alma,3427,3433,-0.0017,562,6.0950
Experiment,3414,3328,0.0258,1148,2.9740
Ringgold,3380,3414,-0.0100,687,4.9180
Hogansville,3309,3267,0.0129,452,7.3170
