Zip Code,Population,,,,,
31539,"14,796",,,,,
31211,"14,602",,,,,
39828,"14,539",,,,,
30110,"14,232",,,,,
30107,"14,083",,,,,
31023,"14,079",,,,,
30620,"14,027",,,,,
31407,"14,010",,,,,
30317,"13,959",,,,,
30204,"13,735",,,,,
31316,"13,732",,,,,
30401,"13,708",,,,,
30830,"13,544",,,,,
31523,"13,450",,,,,
31632,"13,408",,,,,
31014,"13,404",,,,,
30337,"13,309",,,,,
30642,"13,104",,,,,
30622,"13,073",,,,,
30427,"12,771",,,,,
31415,"12,706",,,,,
30513,"12,504",,,,,
31036,"12,236",,,,,
30523,"12,099",,,,,
30529,"12,098",,,,,
30436,"12,039",,,,,
30650,"11,971",,,,,
30054,"11,867",,,,,
31820,"11,832",,,,,
30467,"11,764",,,,,
30313,"11,761",,,,,
31791,"11,485",,,,,
31620,"11,272",,,,,
31535,"11,257",,,,,
31757,"10,977",,,,,
31329,"10,831",,,,,
30531,"10,809",,,,,
30439,"10,795",,,,,
30025,"10,689",,,,,
39817,"10,633",,,,,
30453,"10,627",,,,,
31639,"10,606",,,,,
31636,"10,585",,,,,
31537,"10,559",,,,,
31408,"10,554",,,,,
39819,"10,492",,,,,
30417,"10,487",,,,,
30607,"10,475",,,,,
31779,"10,338",,,,,
30288,"10,181",,,,,
30755,"10,108",,,,,
30268,"10,099",,,,,
31082,"10,061",,,,,
31788,"9,954",,,,,
30230,"9,727",,,,,
31510,"9,658",,,,,
30666,"9,622",,,,,
30217,"9,595",,,,,
31064,"9,469",,,,,
30814,"9,342",,,,,
30536,"9,290",,,,,
31027,"9,264",,,,,
30510,"9,136",,,,,
31808,"9,077",,,,,
31793,"9,029",,,,,
31411,"8,993",,,,,
31052,"8,837",,,,,
31719,"8,830",,,,,
30145,"8,807",,,,,
30662,"8,779",,,,,
30633,"8,776",,,,,
30290,"8,706",,,,,
30752,"8,638",,,,,
31087,"8,608",,,,,
30740,"8,584",,,,,
31546,"8,555",,,,,
30108,"8,494",,,,,
30554,"8,486",,,,,
31643,"8,442",,,,,
31315,"8,387",,,,,
30442,"8,239",,,,,
31308,"8,111",,,,,
31331,"8,079",,,,,
30553,"8,041",,,,,
31055,"8,005",,,,,
31201,"7,937",,,,,
39823,"7,923",,,,,
31730,"7,836",,,,,
31554,"7,803",,,,,
30817,"7,775",,,,,
30566,"7,741",,,,,
31320,"7,627",,,,,
31771,"7,626",,,,,
30535,"7,607",,,,,
30546,"7,596",,,,,
30905,"7,594",,,,,
31321,"7,576",,,,,
31096,"7,552",,,,,
31302,"7,540",,,,,
30525,"7,515",,,,,
30530,"7,475",,,,,
39842,"7,471",,,,,
39845,"7,444",,,,,
30742,"7,374",,,,,
30710,"7,297",,,,,
31031,"7,251",,,,,
30628,"7,241",,,,,
30176,"7,221",,,,,
30683,"7,192",,,,,
30187,"7,123",,,,,
30753,"7,016",,,,,
31635,"6,961",,,,,
30646,"6,893",,,,,
31833,"6,883",,,,,
30303,"6,840",,,,,
30739,"6,773",,,,,
30183,"6,772",,,,,
30673,"6,726",,,,,
31028,"6,673",,,,,
30326,"6,643",,,,,
30735,"6,631",,,,,
30184,"6,535",,,,,
31774,"6,452",,,,,
31092,"6,423",,,,,
30563,"6,274",,,,,
30415,"6,272",,,,,
30802,"6,243",,,,,
30220,"6,216",,,,,
31811,"6,204",,,,,
31822,"6,166",,,,,
30113,"6,152",,,,,
31804,"6,151",,,,,
31901,"6,150",,,,,
39837,"6,113",,,,,
31305,"6,039",,,,,
30543,"5,939",,,,,
30002,"5,902",,,,,
30147,"5,901",,,,,
31569,"5,814",,,,,
30621,"5,794",,,,,
30457,"5,697",,,,,
30173,"5,679",,,,,
31714,"5,644",,,,,
30292,"5,631",,,,,
30104,"5,552",,,,,
30175,"5,526",,,,,
31816,"5,510",,,,,
30520,"5,418",,,,,
31803,"5,367",,,,,
39840,"5,297",,,,,
30558,"5,240",,,,,
30411,"5,205",,,,,
31634,"5,179",,,,,
31806,"5,135",,,,,
30557,"5,112",,,,,
30434,"5,017",,,,,
30346,"5,008",,,,,
