RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2022-08-31,2022-10-31,2023-07-31
394997,103,"Portland, ME",Msa,ME,2022-07-31,0.3,1.0,4.2
394549,104,"Durham, NC",Msa,NC,2022-07-31,0.2,0.1,4.7
395068,105,"Santa Rosa, CA",Msa,CA,2022-07-31,0.0,-0.9,-1.5
394792,106,"Lexington, KY",Msa,KY,2022-07-31,0.3,0.2,2.2
394761,107,"Lafayette, LA",Msa,LA,2022-07-31,0.6,0.3,-0.6
394770,108,"Lansing, MI",Msa,MI,2022-07-31,0.5,0.5,2.2
394590,109,"Fayetteville, AR",Msa,AR,2022-07-31,0.6,1.0,5.4
394971,110,"Pensacola, FL",Msa,FL,2022-07-31,0.4,0.6,5.1
395195,111,"Visalia, CA",Msa,CA,2022-07-31,-0.3,-0.8,2.1
395096,112,"Shreveport, LA",Msa,LA,2022-07-31,-0.1,-1.4,-3.3
395116,113,"Springfield, MO",Msa,MO,2022-07-31,0.8,0.9,5.2
395244,114,"York, PA",Msa,PA,2022-07-31,0.2,0.2,1.7
394502,115,"Corpus Christi, TX",Msa,TX,2022-07-31,0.3,0.1,0.4
394596,116,"Flint, MI",Msa,MI,2022-07-31,0.3,0.7,3.5
395019,117,"Reno, NV",Msa,NV,2022-07-31,-0.8,-2.1,1.4
394338,118,"Asheville, NC",Msa,NC,2022-07-31,0.6,1.2,4.7
394995,119,"Port St. Lucie, FL",Msa,FL,2022-07-31,1.1,1.9,7.3
753917,120,"Santa Maria-Santa Barbara, CA",Msa,CA,2022-07-31,0.2,-0.3,2.0
394698,121,"Huntsville, AL",Msa,AL,2022-07-31,0.6,0.9,5.6
394612,122,"Fort Wayne, IN",Msa,IN,2022-07-31,0.2,0.4,3.4
395050,123,"Salinas, CA",Msa,CA,2022-07-31,-0.2,-0.6,1.2
395183,124,"Vallejo, CA",Msa,CA,2022-07-31,-0.1,-0.6,0.8
394870,125,"Mobile, AL",Msa,AL,2022-07-31,0.4,0.5,2.7
395015,126,"Reading, PA",Msa,PA,2022-07-31,0.5,0.7,3.2
