RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31
394908,62,"New Haven, CT",Msa,CT,284307.0,290971.0,301125.0,312989.0,321014.0,326597.0,326911.0,322724.0,317455.0,313652.0,310161.0,304962.0,300077.0,301472.0,308414.0,318882.0,324432.0,324469.0,319200.0,314001.0,308732.0,305243.0,303149.0,301439.0,299695.0,299695.0,304894.0,310128.0,322340.0,332494.0,346451.0,349452.0,348056.0,341078.0,335948.0,327225.0,320603.0,317979.0,324967.0,339933.0,351600.0,356567.0,351567.0,344900.0,338267.0,336600.0,336600.0,336567.0,338233.0,341267.0,354600.0,361267.0,368042.0,369742.0,371109.0
394357,63,"Bakersfield, CA",Msa,CA,258600.0,261633.0,267267.0,273800.0,277433.0,278767.0,278900.0,275598.0,270632.0,265982.0,262617.0,260617.0,257933.0,257133.0,259133.0,266500.0,272633.0,275967.0,276633.0,276167.0,274167.0,269483.0,266283.0,264917.0,266100.0,267800.0,272500.0,274667.0,276333.0,276633.0,281300.0,289300.0,297333.0,305000.0,308500.0,305667.0,297667.0,291166.0,292633.0,301631.0,313295.0,319995.0,323497.0,321800.0,321800.0,323267.0,333267.0,343267.0,346633.0,346633.0,351633.0,364966.0,381633.0,392966.0,396133.0
394753,64,"Knoxville, TN",Msa,TN,250291.0,249375.0,252852.0,262335.0,271787.0,277160.0,275580.0,269289.0,262975.0,258234.0,255073.0,254401.0,252820.0,253927.0,257088.0,264990.0,274916.0,281238.0,286011.0,286011.0,285727.0,280954.0,274631.0,268594.0,265433.0,268594.0,274944.0,281298.0,289232.0,300268.0,314492.0,323975.0,322395.0,318339.0,309250.0,304800.0,299463.0,299463.0,306263.0,328233.0,347337.0,357337.0,347370.0,341630.0,339993.0,338293.0,334930.0,331567.0,338233.0,351567.0,364900.0,378233.0,393267.0,401633.0,410000.0
394653,65,"Greenville, SC",Msa,SC,253159.0,255081.0,259476.0,265430.0,268970.0,271744.0,272025.0,271744.0,266980.0,262304.0,257909.0,255536.0,254122.0,255182.0,260169.0,267848.0,274456.0,275672.0,272243.0,266134.0,262736.0,261458.0,261411.0,260164.0,258637.0,261520.0,265962.0,269079.0,272165.0,278321.0,283438.0,285308.0,283644.0,284692.0,282986.0,280000.0,276633.0,277297.0,283963.0,296963.0,307967.0,317967.0,322667.0,327666.0,330633.0,328933.0,324767.0,320307.0,322337.0,331667.0,341460.0,350430.0,356433.0,361467.0,366167.0
394952,66,"Ventura, CA",Msa,CA,779332.0,780665.0,777665.0,785667.0,779333.0,772667.0,756333.0,748000.0,728330.0,711630.0,696630.0,689967.0,688333.0,691333.0,701333.0,712667.0,726000.0,739300.0,750967.0,763630.0,776663.0,785330.0,784667.0,784667.0,787259.0,801926.0,815592.0,811300.0,804633.0,810967.0,836000.0,861333.0,870000.0,873000.0,864333.0,862583.0,865917.0,902583.0,929000.0,949333.0,951333.0,935000.0,928333.0,898317.0,894983.0,894650.0,902667.0,906000.0,908000.0,914667.0,934667.0,938000.0,946667.0,940000.0,928300.0
394318,67,"Allentown, PA",Msa,PA,245506.0,243694.0,246929.0,255434.0,262793.0,265474.0,266214.0,264402.0,260667.0,256932.0,253234.0,251385.0,248464.0,250276.0,255823.0,264328.0,271724.0,275459.0,279120.0,279120.0,278195.0,274497.0,271909.0,269098.0,267286.0,269912.0,280858.0,290066.0,297424.0,299458.0,308370.0,315762.0,320532.0,320911.0,319850.0,320959.0,322010.0,329202.0,336630.0,343660.0,346663.0,341663.0,336065.0,329732.0,334732.0,338000.0,341000.0,340167.0,343800.0,345800.0,353300.0,353333.0,361633.0,363267.0,366567.0
394561,68,"El Paso, TX",Msa,TX,183722.0,183922.0,184122.0,184830.0,185357.0,187172.0,189333.0,191694.0,192239.0,192456.0,192656.0,194109.0,197014.0,200083.0,202788.0,204768.0,206783.0,208417.0,208417.0,207655.0,206947.0,206965.0,208435.0,208417.0,208417.0,206965.0,206982.0,206601.0,207527.0,209343.0,212993.0,215681.0,217478.0,218164.0,223778.0,227690.0,231719.0,230641.0,232448.0,235465.0,241500.0,247817.0,251800.0,251950.0,251617.0,252950.0,255967.0,259633.0,263633.0,267283.0,272283.0,275050.0,278067.0,277417.0,278650.0
394367,69,"Baton Rouge, LA",Msa,LA,230967.0,231667.0,234667.0,239667.0,244633.0,248300.0,248617.0,246950.0,245117.0,243133.0,241633.0,240100.0,240100.0,241600.0,243967.0,248633.0,253333.0,256000.0,254667.0,251167.0,247800.0,245967.0,244100.0,242467.0,240933.0,241600.0,244900.0,247933.0,250300.0,253633.0,258600.0,264250.0,268583.0,272250.0,272567.0,271600.0,269800.0,271467.0,276463.0,284985.0,294352.0,299355.0,300833.0,298830.0,298493.0,298627.0,304630.0,311633.0,321667.0,329667.0,336000.0,334333.0,326316.0,316649.0,311649.0
394521,70,"Dayton, OH",Msa,OH,138929.0,136762.0,140770.0,146150.0,151543.0,156561.0,162013.0,164202.0,162396.0,158750.0,156078.0,154273.0,153948.0,154815.0,160230.0,165971.0,174636.0,181857.0,190883.0,194854.0,193049.0,186586.0,181929.0,179077.0,177632.0,180485.0,192399.0,204999.0,216589.0,221968.0,222690.0,219983.0,216372.0,217200.0,216806.0,214633.0,214115.0,220815.0,227448.0,234633.0,239600.0,244933.0,245233.0,240263.0,234630.0,227663.0,222667.0,221330.0,224963.0,236293.0,247297.0,242330.0,231000.0,220000.0,223533.0
394843,71,"McAllen, TX",Msa,TX,192167.0,190467.0,190433.0,191567.0,192600.0,194300.0,194333.0,195167.0,196167.0,195167.0,193333.0,190633.0,189967.0,192800.0,196000.0,201000.0,204500.0,207967.0,207967.0,204967.0,201633.0,199967.0,199967.0,199967.0,199800.0,199467.0,199333.0,199167.0,202500.0,207933.0,214933.0,218600.0,223000.0,226997.0,230330.0,228997.0,225997.0,225997.0,230997.0,238333.0,244667.0,248667.0,251967.0,255300.0,256300.0,258000.0,258267.0,258900.0,258567.0,258600.0,259600.0,261567.0,264933.0,268300.0,269667.0
