MONROE,28042,28148,28256,28364,28472,28578,28688
MONTGOMERY,9012,9024,9042,9061,9079,9091,9094
MORGAN,19636,19728,19834,19924,20030,20122,20208
MURRAY,40032,40132,40245,40354,40467,40567,40659
MUSCOGEE,196442,197570,198690,199818,200938,202066,202786
NEWTON,113295,115184,117080,118969,120865,122754,124706
OCONEE,41124,41794,42478,43153,43837,44507,45212
OGLETHORPE,15383,15601,15826,16041,16266,16484,16671
PAULDING,173359,177316,181267,185229,189180,193137,196905
PEACH,27950,28106,28242,28403,28539,28695,28811
PICKENS,33127,33316,33502,33698,33884,34073,34371
PIERCE,19522,19610,19695,19791,19876,19964,20031
PIKE,19121,19275,19437,19597,19759,19913,20059
POLK,42840,43032,43232,43414,43614,43806,43974
PULASKI,11191,11135,11082,11045,10992,10936,10881
PUTNAM,22520,22543,22561,22584,22602,22625,22612
QUITMAN,2271,2260,2261,2236,2237,2226,2221
RABUN,17273,17279,17284,17300,17305,17311,17306
RANDOLPH,6682,6642,6602,6565,6525,6485,6440
RICHMOND,202079,202984,203888,204785,205689,206594,207661
ROCKDALE,90939,91446,91945,92447,92946,93453,93979
SCHLEY,5196,5223,5263,5304,5344,5371,5393
SCREVEN,14012,14036,14056,14092,14112,14136,14135
SEMINOLE,8060,8074,8084,8089,8099,8113,8107
SPALDING,67414,67791,68166,68543,68918,69295,69711
STEPHENS,26107,26119,26135,26150,26166,26178,26201
STEWART,6689,6680,6666,6667,6653,6644,6633
SUMTER,29282,29055,28827,28602,28374,28147,27925
TALBOT,6143,6119,6086,6065,6032,6008,5957
TALIAFERRO,1562,1547,1536,1512,1501,1486,1479
TATTNALL,25365,25451,25544,25629,25722,25808,25865
TAYLOR,8074,8030,7990,7951,7911,7867,7830
TELFAIR,15781,15747,15721,15682,15656,15622,15573
TERRELL,8523,8497,8469,8440,8412,8386,8367
THOMAS,44372,44394,44417,44448,44471,44493,44494
TIFT,40719,40949,41186,41414,41651,41881,42045
TOOMBS,26973,26963,26974,26984,26995,26985,26996
TOWNS,12247,12302,12358,12409,12465,12520,12618
TREUTLEN,6822,6829,6849,6857,6877,6884,6893
TROUP,70214,70522,70831,71134,71443,71751,71933
TURNER,7882,7840,7802,7763,7725,7683,7656
TWIGGS,8103,8087,8060,8046,8019,8003,7954
UNION,25358,25456,25546,25646,25736,25834,25999
UPSON,26527,26632,26740,26850,26958,27063,27125
WALKER,70116,70513,70913,71319,71719,72116,72488
WALTON,96875,98279,99692,101091,102504,103908,105239
WARE,35826,36015,36200,36386,36571,36760,36914
WARREN,5232,5190,5150,5102,5062,5020,4990
WASHINGTON,20150,20155,20150,20145,20140,20145,20119
WAYNE,30023,30079,30142,30208,30271,30327,30377
WEBSTER,2595,2593,2593,2598,2598,2596,2596
WHEELER,7751,7775,7787,7808,7820,7844,7848
WHITE,31094,31276,31460,31655,31839,32021,32288
WHITFIELD,103837,104215,104591,104972,105348,105726,106026
WILCOX,8502,8498,8499,8485,8486,8482,8469
WILKES,9694,9685,9672,9670,9657,9648,9612
WILKINSON,8812,8717,8633,8540,8456,8361,8292
WORTH,19972,20005,20051,20085,20131,20164,20176
Georgia,10710017,10816316,10922820,11029363,11135867,11242166,11342198
